Figure Skater,Medal,Category
Alysa Liu,Gold,Women's singles
Kaori Sakamoto,Silver,Women's singles
Ami Nakai,Bronze,Women's singles
Mikhail Shaidorov,Gold,Men's singles
Yuma Kagiyama,Silver,Men's singles
Shun Sato,Bronze,Men's singles
